017_04_21_031_21|わかりました……士道
608_23_21_064_21|はい。帰りましょう
608_24_21_009_21|……なんだか、呼ばれた気がして
608_24_21_010_21|わかりません。気のせいかもしれません
608_24_21_011_21|はい。もう夜も遅いですし、戻りましょう
608_24_21_012_21|それは承服しかねます
608_24_21_013_21|士道と一緒に寝ると、　とても心地良いということを、知ってしまいましたから
608_25_21_003_21|……すう
608_25_21_004_21|……う……ん……
608_25_21_005_21|うぅ……
608_25_21_006_21|駄目……です……士道……
608_25_21_007_21|士道の……イジ、ワル……
608_25_21_008_21|……んー？　ん、うー、うー！
608_25_21_009_21|ん……ふぅ……どうやら、助かったようです
608_25_21_010_21|膨大なデータの整理に時間がかかってしまったようです。　設定していた時間より、だいぶ遅くなってしまいました
608_25_21_011_21|もうそんな時間なんですね。　わかりました
608_25_21_013_21|おはようございます、五河琴里
608_25_21_016_21|士道、行かなくていいのですか？
608_26_21_001_21|……？　どういうことですか、士道。　学校があるのでは？
608_26_21_002_21|なるほど。確かに休日には学校はありませんね。　失念していました。すみません
608_26_21_003_21|そうですね……まだ興味が尽きないことが　たくさんありますから
608_26_21_004_21|好きなこと、ですか？
608_26_21_005_21|では、士道とデートしたいです
608_26_21_006_21|他に……そうですね。　では夜刀神十香たちと遊びに行ってみたいです。　年頃の少女は、同性の友人たちとよく遊びに行くそうですね
608_26_21_009_21|両方、ですか？
608_26_21_011_21|その発想がありましたか。　それは確かに素晴らしいです。　士道もそれで構いませんか？
608_26_21_013_21|本当ですか。　ありがとうございます、五河琴里
608_26_21_017_21|はい。わかりました
608_27_21_001_21|五河琴里から聞かなかったのですか？
608_27_21_002_21|はい。わたしも楽しみにしています
608_27_21_005_21|はい、よろしくお願いします。　夜刀神十香
608_27_21_011_21|そうですか。それはとても楽しみです
608_27_21_016_21|本日はよろしくお願いします。　八舞耶倶矢、誘宵美九
608_27_21_022_21|では、時崎狂三。　今日はみなさんとお出かけする予定ですが、　一緒に来ませんか？
608_27_21_027_21|よろしくお願いします。　わたしも時崎狂三の不思議な魅力は興味がありますので
608_27_21_032_21|……おー、です
608_28_21_011_21|あの……どうすればいいのでしょうか
608_28_21_013_21|からかわれている？
608_28_21_015_21|士道は友達がたくさんいる……それはいいことですか？
608_28_21_019_21|友達がたくさんいるのは楽しいこと、ですか……
608_28_21_020_21|……じー
608_28_21_021_21|士道には友達がたくさんいると聞きました。　先程の三人も士道の友達なのですか？
608_28_21_022_21|……
608_28_21_025_21|構いません。　……いえ、わたしも見たいです
608_28_21_027_21|よろしくお願いします
608_28_21_037_21|あ、あの、ええと……。　あわわ……
608_28_21_040_21|下着も女の武器、ですか……　どういった効力があるのでしょうか
608_28_21_041_21|デートで着る服……ですか。　自分では、よくわかりません。　服を買うという経験がないので
608_28_21_044_21|お、お願い、します
608_28_21_052_21|大丈夫ではないでしょうか。　わたしのために頑張ってくれています
608_28_21_053_21|士道は不安ですか？　それなら、わたしとは違いますね。　わたしが感じているのは、不安ではないと思います
608_28_21_054_21|その表現が正しいのかもしれません。　未知のことに心を躍らせるとは、こういう感覚なのでしょうか。　なんだか、落ち着きません
608_28_21_055_21|はい。……わくわくでどきどきです
608_28_21_058_21|あ、あの、どうでしょうか
608_28_21_061_21|本当……ですか？　変ではないでしょうか
608_28_21_066_21|実は、わたしも少し驚いています
608_28_21_067_21|はい。違う服に着替えただけなのに、とても嬉しく感じます。　これは一体、どういうことでしょう
608_28_21_068_21|士道にはわかるのですか？
608_28_21_069_21|わたしにも、それが理解できた……ということでしょうか
608_28_21_070_21|なるほど、これが……これが、嬉しい
608_28_21_075_21|士道、そこにわたしは含まれていますか？
608_28_21_076_21|そうですか、嬉しいです
608_29_21_002_21|なくなっても、なんとかできないわけではありませんが……
608_29_21_011_21|あの、士道……大変です
608_29_21_012_21|どの品も魅力的です。　どれを選ぶか、決定するには情報が少なすぎます
608_29_21_013_21|名前だけではわからないものもあります。　念のためにわたしの持つ情報と士道の認識に差異がないか、　確認してもらってもいいでしょうか
608_29_21_014_21|はい。お願いします。　では士道、このブリオッシュ・デ・ロワとは　どういう料理なのでしょうか
608_29_21_015_21|はい。それと、デ・ロワが恐らく、　ガレット・デ・ロワを指していることも理解できます
608_29_21_017_21|なるほど……。　では、こっちのガレットはわたしの認識しているものと　同一でしょうか
608_29_21_019_21|……好きに選ぶというのは、難しいですね。　士道が説明してくれたものも魅力的ですが、　他のものからも目を離せません
608_29_21_023_21|……わける？　互いに自分の頼んだものを譲渡しあうということですね。　なるほど、それなら選択肢を減らせます
608_29_21_027_21|それは、交換するだけでも楽しそうですね。　……では、最初に士道に教えてもらった、　ブリオッシュ・デ・ロワに決めます
608_29_21_029_21|士道に聞いて正解でした。　とても美味しいです
608_29_21_030_21|士道が構わないのでしたら、是非
608_29_21_033_21|みなさん、ありがとうございます。　どれも本当に美味しいです。　それと……不思議な感覚を覚えます
608_29_21_034_21|はい。何かが起きたわけではないのに、　いつもより楽しいというか、嬉しいというか……　うまく表現できない感覚です
608_29_21_035_21|みんなと、一緒に？
608_29_21_040_21|とも、だち……
608_29_21_041_21|さすがにそれは……理解しています
608_29_21_042_21|でも、そうなんですね……これが、友達。　少し、わかった気がします
608_29_21_044_21|……あの、士道と行ってみたい場所があります。　みなさんには失礼ですが、士道の時間を……　もらってもいいでしょうか
608_29_21_048_21|はい！
608_29_21_050_21|はい、是非
608_29_21_051_21|大丈夫です。そんな遠いところではありませんから。　……それでは、行きましょうか。士道
608_30_21_001_21|わたしも士道と一緒に歌ってみたかったので
608_30_21_002_21|では士道、歌ってみましょう
608_30_21_003_21|もちろんです。　この子機で曲選択、親機へ送信すると、　選択した曲が流れるんですよね
608_30_21_004_21|以前、士道たちが歌っていた曲は記憶していますが、　自分で入れるとなると、選ぶのが難しいですね
608_30_21_005_21|あ…その、はい。　ええと…過去のデータ、ということです
608_30_21_006_21|では……おまかせしてもいいですか？　普通の女の子が、歌うような……そんな曲がいいです
608_30_21_007_21|具体的な選曲については、　士道にお任せしてもいいですか？
608_30_21_008_21|雪の光、ですか。　このタイトルは……なるほど。　スローテンポなバラードソングですね
608_30_21_010_21|そうですか。　それでは、士道が問題ないなら、　わたしも問題ありません
608_30_21_011_21|それでは士道、少しの間、失礼します
608_30_21_012_21|もしかして、重かったですか？
608_30_21_013_21|これは恋の歌ですから、こうした方がいいのではないかと。　恋の歌を歌うときは、できる限りその相手と近づいて歌った方が　いいと記憶しています
608_30_21_014_21|もしかして、士道は嫌……ですか？
608_30_21_016_21|そうですか。安心しました　あ、始まりますよ
608_30_21_017_21|――♪
608_30_21_018_21|……あの、歌うこと自体慣れていないので、　聞き苦しかったでしょうか？
608_30_21_019_21|次は、士道の番ですよ
608_30_21_020_21|熱唱でしたね。　かなり汗をかいているようですが、大丈夫ですか？
608_30_21_021_21|それならいいんですが
608_30_21_022_21|大丈夫です。その曲なら歌えると思います
608_30_21_023_21|いえ、そんなことはありません。　とても楽しんでいます
608_30_21_024_21|……本当は、少し考えごとをしていました
608_30_21_025_21|聞かせる内容は、わたしの考えごと……ですか？
608_30_21_026_21|……わかりました。　士道、これはデートと言えるのでしょうか
608_30_21_027_21|事実そうなのですが、あまりデートらしくない気がして……
608_30_21_028_21|いえ……デートらしくならない原因は　わたしにあるのではないかと。　それが何か……ずっと考えていました
608_30_21_029_21|はい、とても
608_30_21_030_21|そう……ですか……
608_30_21_031_21|士道、ひとつ提案があるのですが……いいですか？
608_30_21_032_21|手を繋いで歌うというのはどうでしょう？　そうすれば、もっとデートのように……恋人のように　できるのではないでしょうか
608_30_21_033_21|はい。以前、手を握って歌うことで、　意中の相手の意識を自分に向けさせる……　という場面を記憶しています
608_30_21_034_21|……士道は、します
608_30_21_035_21|はい。間違いないはずです
608_30_21_036_21|はい、よろしくお願いします。士道
608_30_21_037_21|えっ、あっ……！
608_30_21_038_21|す、すみません。　突然だったので、驚いてしまっただけです。　あの、曲が始まったらで大丈夫ですから
608_30_21_039_21|い、いえ。大丈夫です
608_30_21_040_21|はい……お願いします
608_30_21_041_21|あ、あの、士道……。　わたしの方ばかり見ていませんか？
608_30_21_042_21|……終わりましたね
608_30_21_043_21|士道の温かさが伝わってくるようでした。　これは、とても恋人らしい行動だったのでは　ないでしょうか
608_30_21_044_21|いえ、その……
608_30_21_045_21|――それも、駄目です
608_30_21_046_21|このままで……帰りませんか？
608_30_21_047_21|だから、手を繋いだまま、です。　最後まで、恋人らしくデートをしましょう
608_30_21_048_21|今日はとても楽しかったです。　みなさんと一緒に買い物をしたり、甘い物を食べたり……　士道と一緒にカラオケをしたり……
608_30_21_049_21|本当に、とても大事な記憶になりました
608_30_21_050_21|士道やみなさんと一緒に過ごすのは、とても楽しいです。　そう考えられるようになりました
608_30_21_051_21|よかった？
608_30_21_052_21|わたしが愛に近づいている。　……それは、わたしが変わったから？
608_30_21_053_21|『きっとあなたが私の世界に色をつけてくれた人』
608_30_21_054_21|さっき歌っていた歌の一節です。　今のわたしは士道たちのおかげで、変われてきている……　そう感じます
608_30_21_055_21|はい
608_31_21_001_21|そろそろ、いい時間になりましたね。　士道、今日は楽しかったです。　ありがとうございました
608_31_21_002_21|お別れも含めてデートです。　今日はそうさせてもらえますか？
608_31_21_003_21|はい。ですから、今日は別々に帰りましょう。　いいですか？
608_31_21_004_21|……む。士道、それでは子供と別れる親のようです
608_31_21_005_21|でも、士道。　こういう時は『送っていくよ』と言うものではないでしょうか
608_31_21_006_21|いえ、ここまでで大丈夫です。　先程のやりとりの意味がなくなってしまいます
608_31_21_007_21|はい、士道。さようなら
608_32_21_009_21|おはようございます、士道
608_32_21_010_21|せっかくのお出かけですから。　朝食の準備は終わっていますので、　よければ食べてください
608_32_21_011_21|みなさんの分のお弁当も作りました。　向こうでいい時間になったら、食べましょう
608_32_21_012_21|はい。情報としては認識しています。　ですが、実際に行くのは初めてですね
608_32_21_015_21|はい、そろそろ外で待ちましょう。　その方がスムーズに合流できます
608_32_21_016_21|はいっ
608_32_21_017_21|……いくつか候補を考えたのですが、　これで決定というまでにはいきませんでした。　強いていうならば……そうですね、全部です
608_32_21_018_21|遊園地は人が多く、混むものだと認識しています。　これをなんとかしてしまって、遊園地を楽しめるのでしょうか
608_32_21_019_21|なるほど。　では、今のままで問題ありませんね
608_32_21_020_21|はい。楽しみにしています
608_32_21_031_21|おはようございます、鳶一折紙。　今日はよろしくお願いします
608_32_21_042_21|はい。出発しましょう
608_32_21_050_21|はい、四糸乃。わたしもお話、したいです
608_33_21_001_21|ここが遊園地……
608_33_21_003_21|人がたくさんいて、とてもにぎやかですね。　たくさんの笑顔が溢れていて、わたしも　笑顔になってしまいそうです
608_33_21_004_21|では、たくさん笑った方がみなさんにとっても、　いいことなんですね
608_33_21_006_21|……四糸乃のいうこと、わかります。　わたしも同じです
608_33_21_010_21|……？　どうかしたのでしょうか？
608_33_21_013_21|そうですね。まずは……　ホラーハウスではどうでしょうか？
608_33_21_016_21|琴里はホラーハウスは嫌ですか？
608_33_21_018_21|なるほど。それでは避けた方が賢明ですね
608_33_21_020_21|しかし……それでは、みんなで遊ぶという目的が……
608_33_21_021_21|ですが……
608_33_21_033_21|ここです。ホラーハウスというだけありますね。　室内の光度と温度を下げ、恐怖を演出しているようです
608_33_21_037_21|…………
608_33_21_038_21|士道。わたしとも、手を繋いでくれませんか
608_33_21_039_21|はい。ありがとうございます
608_33_21_045_21|きゃっ……
608_33_21_047_21|し、士道？
608_33_21_049_21|はい、大丈夫です。　大きな音に驚いただけですから
608_33_21_050_21|……はいっ
608_33_21_062_21|…………士道
608_33_21_063_21|士道は……いえ、なんでもありません
608_33_21_064_21|なんでもないと伝えました
608_33_21_065_21|…………はい
608_33_21_069_21|士道、いったいなにをしているんですか？
608_33_21_074_21|本当に大きなコーヒーカップに見えますね
608_33_21_075_21|それは知っています。　ただ、単純に何故コーヒーカップの外見にしたのかが　気になりますが
608_33_21_076_21|なるほど。そういうものですか
608_33_21_084_21|士道。床が音楽に合わせて回っていて……　まるで、踊っているようですね
608_33_21_085_21|あっ……
608_33_21_086_21|これは……
608_33_21_087_21|なるほど。こうしてカップが回るのですね
608_33_21_088_21|はい。とても単純な機構ですが、うまく工夫されています
608_33_21_089_21|ふふ……大丈夫です。単純に楽しいですから
608_33_21_097_21|わたしも興味があります
608_34_21_001_21|すごい人の列ですね。　それだけ人気の乗り物ということでしょうか
608_34_21_011_21|人間観察……と言えばいいでしょうか？
608_34_21_012_21|はい。年齢、性別、同行者の人数……　それぞれの行動を観察するのは、とても興味深いです
608_34_21_013_21|この遊園地に遊びに来ている人たちにも、　それぞれに全く異なる背景があります
608_34_21_014_21|あそこのグループはさっきからくじを引いてます
608_34_21_015_21|あちらの親子連れは何かを先ほどから覗きこんでますね
608_34_21_016_21|はい、とても興味深いものです
608_34_21_030_21|琴里、せっかく作ったくじなのですから、　ちゃんと使った方がいいのではないでしょうか
608_34_21_039_21|士道、あれに乗るんですね
608_34_21_040_21|なんだか、緊張するような気がします
608_34_21_041_21|はい。士道と隣でないのは残念です。　その方が楽しいと、そう考えていましたから
608_34_21_042_21|このコースター、先ほど見ていたものより、　だいぶ遅いのではないでしょうか
608_34_21_043_21|……なるほど。　少しずつ早くなっていくということでしょうか
608_34_21_044_21|心の準備、ですか？
608_34_21_045_21|一気に……？　それは、どういうことで――
608_34_21_050_21|こういうときは、悲鳴をあげればいいんでしょうか？
608_34_21_051_21|では……きゃぁぁぁぁぁぁぁ！！
608_34_21_052_21|きゃあぁぁぁぁぁぁぁ！！
608_34_21_053_21|とても、楽しいです！
608_34_21_054_21|きゃぁぁぁぁぁぁぁ！！
608_34_21_059_21|ふふ、楽しかったですね
608_34_21_060_21|とてもいい経験でした。　遠慮なく声を出せる場所……カラオケとはまた違う感じで、　新鮮でした
608_34_21_062_21|それはどういうことですか、琴里？
608_34_21_065_21|なるほど。気になります
608_34_21_066_21|はい！
608_34_21_067_21|はい、でもとてもいい写真だと思います
608_34_21_068_21|いいんですか？
608_34_21_073_21|……はい。大事にします
608_34_21_074_21|……なにか言いましたか、士道？
608_34_21_075_21|今ので時間も押してしまいましたし、　次のアトラクションに行きませんか？
608_35_21_001_21|ふふ……今日もとても楽しかったです
608_35_21_002_21|……はい
608_35_21_003_21|士道……　今日は少し、一人の時間をもらってもよいでしょうか？
608_35_21_004_21|はい。少し整理したいことがあります。　いいでしょうか？
608_35_21_005_21|心配してくれて、ありがとうございます。　ですが、平気です。なにか脅威があるわけではないですし
608_35_21_006_21|はい。では、士道……またあとで
609_11_21_001_21|『仲間』や『友達』……。　みなさんは、わたしをそう呼んでくれました
609_11_21_002_21|士道たちは、互いを想い合っている。　そして、わたしのことも……
609_11_21_003_21|胸の奥があたたかく感じる。　……これは『うれしい』という気持ち。　そのことを、わたしはもう知っています
609_11_21_004_21|それだけではありません。　いろいろな感情を知ることができました
609_11_21_005_21|でも、わたしは……　みなさんに、何か返すことができるのでしょうか
609_11_21_006_21|わたしから、みなさんにしてあげられること……。　それは、この世界から解放すること
609_11_21_007_21|……ですが、その方法がわたしにはわからない。　だからこそ、わたしが士道たちをこの世界に閉じ込めている
609_11_21_008_21|その答えはわたしの中にない。　わたしに残っているものは……愛を知ること
609_11_21_009_21|……愛を、理解すること
609_11_21_010_21|わたしが持つキーになる情報は、それだけしかない。　だから、そうするしかない
609_11_21_011_21|わたし自身が愛を理解するには……　次のステップに進まなくてはいけません
609_11_21_012_21|次のステップ……それはデートを終わらせること。　その方法……それはきっと――キス
609_11_21_013_21|そう、そうでした。　みなさんはそうやって、士道と愛を伝え合った。　だから、デートの最後は……キスをする
609_11_21_014_21|そうすれば……きっと、愛について、　完全に理解できるはず。　そうすれば、士道を……みなさんを、この世界から解放できる
609_11_21_015_21|みなさんを解放した……その後は……？
609_11_21_016_21|わたしはイレギュラーであると、琴里は言っていた。　この世界が正常に戻った場合……イレギュラーであるわたしは、　消えてしまうかもしれません
609_11_21_017_21|……それでも、わたしは役に立ちたい。　『仲間』として、『友達』として……　わたしを対等に扱ってくれた人たちのために
609_11_21_018_21|そして……士道のためにも……
609_11_21_019_21|だから……始めましょう。　わたしの、最後の[戦争*デート]を――
609_12_21_002_21|……士道。　卵を焼き終えました
609_12_21_010_21|……はい。嬉しいです
609_12_21_014_21|それはよくない行動ですね。　ご飯は、美味しいときに食べるべきです
609_12_21_033_21|駄目です。士道はこれから、わたしとデートの約束があります
609_12_21_035_21|今日だけ……わがままを言わせてください。　一生の、お願いです
609_12_21_036_21|行きましょう、士道。　これが、士道とわたしの――
609_12_21_037_21|――最後の、デートです
609_12_21_038_21|なんでもありません。　さあ、行きましょう
609_12_21_047_21|みなさん、ありがとうございます。　わたしのわがままを……許してくれて
609_12_21_048_21|……すみません。　でも、今日だけですから
609_12_21_049_21|何か……？　とは、なんでしょうか
609_12_21_050_21|……おかしい、ですか？　わたしは、どこか変でしょうか……
609_12_21_051_21|……いえ。そんなことありません。　わたしはただ、士道とデートがしたかっただけです
609_12_21_052_21|士道……今、何か言いかけていたのでは？
609_12_21_053_21|……ありがとうございます、士道。　とても、嬉しいです
609_12_21_054_21|……はい！
609_12_21_055_21|……色々なところに行きましょう
609_12_21_056_21|遠くに行ったり、特別な場所に行く必要はありません。　わたしは、この街で……ただ普通に士道と過ごしたいです
609_12_21_057_21|はい！
609_12_21_058_21|はい、とても楽しかったです。　ですから、士道のよく行く場所に行きましょう
609_12_21_059_21|みなさんで料理したときに行った場所ですね
609_12_21_060_21|……っ！　……すみません、気にしないでください。　この世界には、色々なイベントのデータがありますから
609_12_21_061_21|あれを見てください、士道。　あれは屋台ですよね？
609_12_21_062_21|はい。興味があります。　……でも、わたしはまだまだ知らないことばかりですね。　特に食べ物は顕著です
609_12_21_063_21|はい、そうしましょう。　二人でわければ、いつもよりたくさんのものを　食べることができますね。この前の喫茶店と同じです
609_12_21_064_21|なるほど、琴里らしいですね……ふふ。　では、そうと決まれば行きましょう、士道！
609_12_21_065_21|はい。そういえば、買ってもらった服を　あれっきり着れていませんでしたね
609_12_21_066_21|せっかく可愛い服を買ってもらったんですから、　今日も着てくればよかったです
609_12_21_067_21|そう……ですね
609_12_21_068_21|いえ、なんでもありません
609_12_21_069_21|ここは、女性が多いですね
609_12_21_070_21|確かに……なんだか、　見ていると楽しくなってくる気がします
609_12_21_071_21|……いえ、やめておきます
609_12_21_072_21|……今日は、他に欲しいものがありますから
609_12_21_073_21|……いえ、これは直前まで内緒、です。　後で……教えますから
609_12_21_074_21|では、他のところに行きましょう。　時間はそんなにないですよ？
609_12_21_075_21|はい、士道。　見ているだけでも、とても楽しかったです
609_12_21_076_21|士道も楽しかったですか？
609_12_21_077_21|はい。何に使うのかわからなかったり、　誰が買うのかわからないものも、たくさんありますね
609_12_21_078_21|はい、わたしも同じ意見です。　でも、士道も同じことを考えていたなんて……不思議ですね
609_12_21_079_21|わたしにとっては新しい情報ばかりでしたが、　士道にとっては、経験したことのあるものばかりだと思います
609_12_21_080_21|……ふふ。　なんだか、嬉しいです。　士道と同じ気持ちを、わたしは共有しています
609_12_21_081_21|はい……今まで、こんなことはありませんでしたから
609_12_21_082_21|忘れていた、ですか？
609_12_21_083_21|普通の……女の子……
609_12_21_084_21|わたしが……普通の、女の子……
609_12_21_085_21|……いえ。　なんでもありません
609_12_21_086_21|いえ、今日はいいです。　他の行けるところに行きましょう。　いいですか？
609_12_21_087_21|はい。士道と、この街を回るのが、　今日のデートの目的です
609_12_21_088_21|はい。では、散歩しましょう
609_12_21_089_21|士道、猫です
609_12_21_091_21|士道、近寄ってきましたよ
609_12_21_093_21|どうしてあげたらいいのでしょうか
609_12_21_094_21|撫でる……わかりました、やってみます。　よしよし……
609_12_21_096_21|うまく、できたのでしょうか……
609_12_21_097_21|よかったです……
609_12_21_098_21|なんだか、探検みたいですね
609_12_21_099_21|士道、楽しそうですね。　士道が楽しそうだと、わたしも楽しいです
609_12_21_100_21|この先をずっと行くと、士道の知らない景色が見えるんですね
609_12_21_101_21|はい、地図はすべて把握していますが……　その景色を実際に見たことはありません
609_12_21_102_21|はい。見に行きましょう。　見たことのない、二人だけの景色を
609_12_21_103_21|はい。すっかり、日が暮れてしまいましたね
609_12_21_104_21|はい……こうしているだけでとても落ち着きます
609_12_21_105_21|はい。いつまでも、見ていたくなります
609_12_21_107_21|確かに少し肌寒いかもしれません。　もう、夜ですから
609_12_21_108_21|――士道
609_12_21_109_21|今日はとても充実した一日でした
609_12_21_110_21|ねぇ、士道……？　最後に士道に一つだけ……わがままを言ってもいいですか？
609_12_21_111_21|ふふ、そうですか。　でも、士道にとっては……多分簡単なことです。　それは、デートの最後にすること、ですから
609_12_21_112_21|士道、それくらい察してもらわないと困ります。　いいですか、士道？　デートの最後には……キスを、するものですよ
609_12_21_113_21|お願いします、士道……。　わたしからの最後のお願いです
609_12_21_114_21|士道は、わたしとキスをするのは、嫌ですか？
609_12_21_115_21|……違い、ません
609_12_21_116_21|あ……あ、あ、あ……！　ああ…………っ！！
609_12_21_117_21|これは、いったい……？　わたしの力、が……あ――
609_13_21_005_21|……はぁ、はぁ
609_13_21_006_21|はい……わたし自身に大きな影響はありません。　ですが、わたしの保持する権限に干渉を受け、　そのほとんどが奪われてしまいました
609_13_21_009_21|この世界に、本来わたしは存在し得なかった……？　あなたというイレギュラーによってわたしが生み出されたと、　そう言うのですか？
609_13_21_019_21|……っ……はぁ……。　これは、なにか権限以外に影響が……
609_13_21_029_21|……方法は、あります
609_13_21_030_21|〈フラクシナス〉のシステムの九割が掌握されたため、　わたし自身をシステムから一時的に独立させました。　これで、わたしは或守鞠奈の影響を免れるはずです
609_13_21_032_21|わたしに、あるんです。　全ての原因は、わたしが或守鞠奈からの最初の攻撃を　迎撃できなかったことから始まっているのですから
609_13_21_034_21|はい……先程権限を奪われた際、開かれたロックにより、　情報が開示されました。わたしは、この[艦*ふね]の管理用ＡＩ。　〈フラクシナス〉という、艦そのものと言えるでしょう
609_13_21_045_21|はい……〈フラクシナス〉のプロテクトは、　わたしの無意識下で作動し続けていました。　ですが、それを解除する方法があったのです
609_13_21_047_21|……でも、それは諸刃の剣でした。　心を許し、無防備になったわたしは、無意識下で行っていた　プロテクトを解除してしまっていたのです
609_13_21_048_21|いいえ、わたしの責任です。きっと士道を現実に戻す方法は　他にもあったんです。でも、わたしは自分の欲求のために、　それを探そうともしなかった。責められるべきはわたしです
609_13_21_049_21|できるできないではありません！　事実がそうなんです！
609_15_21_002_21|恐らく、鞠奈がこの世界を消そうとしているのでしょう。　自分を閉じ込めておく檻なんて、もういらないと
609_15_21_006_21|……わたしもできる限り、協力します
609_15_21_007_21|はい……！
609_15_21_013_21|大丈夫です、士道。　……或守鞠奈は必ず“マザールーム”にいます
609_15_21_015_21|はい、微かに……ですが。　もう一度システムに接続できれば確実に……
609_15_21_017_21|……はいっ！
609_15_21_019_21|はい、その領域はシステム内でわたしが令音に繋いでいます。　わたしが存在しているうちは、　現実と同様に霊力を電脳空間上に再現できるはずです
609_15_21_023_21|……プレイヤーへの干渉ですね。　フラグ発生のため、行動を意図的に制限できます
609_15_21_025_21|はい。この世界において、設定は大きな縛りです。　直接的に力を使わなくても、設定を追加・制限するだけで、　かなりの行動を縛れます
609_15_21_026a_21|はい。　それを打ち破るには、必ずわたしの力が必要になります
609_15_21_026b_21|わたしが果てようとも、　いろいろなことを教えてくれたみなさんに　……士道に、少しでも恩を返します
609_15_21_027_21|ですから、途中で気が変わったというのは絶対に駄目ですよ？　この世界で過ごし、わたしがもらったもの……
609_15_21_028_21|それは、データだけでは得られない、実感、感情、絆。　目に見えないけれど、形あるもの。わたしは……みなさんが　好きだから、助けたい。それだけなんです
609_15_21_034_21|すみません、十香。　わたしのせいで、こんなことに……
609_15_21_036_21|……ですが、わたしのせいで、　みなさんを巻き込んでしまった……
609_15_21_038_21|え……？
609_15_21_043_21|今は仲間同士で争っているときでは……
609_15_21_046_21|十香……折紙……。　ありがとう、ございます
609_15_21_050_21|ありがとう、四糸乃。　わたしも……同じ、気持ちです
609_15_21_054_21|……はい！
609_15_21_056_21|わたしからも、お願いします。　みなさんが、なるべく傷つかないように
609_15_21_069_21|……はい、もちろんです
609_16_21_003_21|わたしが先導できると思います。　鞠奈の存在を近くに感じます
609_16_21_005_21|……こちらです
609_16_21_006_21|方向感覚も距離感も実際の感覚とは異なります。　視界に囚われずに進んでください。　確実に近づいています
609_16_21_026_21|はい、なんでしょう、十香
609_16_21_028_21|…………いえ、恐らくいません。　ここにいるのは、すべて複製体です
609_16_21_043_21|はい、なんとか……。　――こっちです！
609_16_21_044_21|……はい。確かに劣化はしていますが、　複製体も精霊としての戦闘力を持っています。　それに、みなさんも……全力は出せないはずです
609_16_21_045_21|心配……ですか？
609_16_21_046_21|……はい、わたしも信じます。　こっちです、急ぎましょう
609_21_21_001_21|はい。順調です。　みなさんは、大丈夫でしょうか
609_21_21_002_21|はい、もうすぐです
609_21_21_003_21|この座標から繋げば――出ます！
609_21_21_008_21|……わたしを、認めてくれるのですか？
609_21_21_011_21|それなら……それなら、わたし、は……
609_21_21_014_21|はい……
609_21_21_017_21|きゃぁぁぁぁぁぁぁ！？
609_21_21_019_21|ま……り……な……
609_21_21_022_21|い、いけません……士道……　逃げて……
609_21_21_028_21|……あなたもこの世界でしか、存在できない？
609_21_21_030_21|士道――ッ！
609_21_21_039_21|士道ッ！！
609_21_21_040_21|士道……でも、その傷！！
609_21_21_078_21|士道……　わたしのことは放っておいてください。　このままでは、士道が……
609_21_21_080_21|士道！
609_21_21_081_21|士道！　士道！　大丈夫ですか、士道！
609_21_21_082_21|わたしを庇わなければ、攻撃する余裕もあるはずです。　わたしが士道の盾になれば……それくらいなら、　まだわたしも役に――
609_21_21_083_21|し、士道……？
609_21_21_086_21|士道、それは……
609_21_21_087_21|士道……全て、思い出したんですか？　今までシミュレートした内容、全てを……
609_21_21_088_21|……っ、もしかして、わたしの権限が失くなったことで、　士道の記憶をロックしていた、そのプロテクトが……？
609_21_21_097_21|これは、恐らく防ぎきれません……！　士道、逃げて！！
609_21_21_099_21|駄目です、士道！　士道は倒れてはいけない人だから……士道が倒れたら――
609_21_21_100_21|みなさんが……いえ、違います。　わたしが――悲しくて、辛いから
609_21_21_101_21|……士道を、守る力をください
609_21_21_102_21|わたしは……士道を守りたい。　失いたくない……みなさんにとっても、　わたしにとっても――
609_21_21_103_21|――誰よりも、大切な存在だから
609_21_21_105_21|――世界はまだ、わたしを見捨てていないようです
609_21_21_107_21|〈フラクシナス〉の権限が一部移行されました。　それにより、この擬似霊装を生成することができたようです
609_21_21_109_21|わかりません。わたしは願っただけです。　それに世界が……〈フラクシナス〉が応えてくれた
609_21_21_110_21|これは、わたしのための力。わたしの想いを具現化した力。　士道を――わたしの大切な人たちを守るための――力
609_21_21_112_21|士道、サポートします。　干渉開始……威力減衰、座標攪乱
609_21_21_114_21|一撃、重いのをあげましょう。　鞠奈もきっと、待っているはずです
609_21_21_116_21|鞠奈……もう少し、考えてください。　わたしたちはわかりあえるのではないでしょうか
609_21_21_118_21|……崩壊が、キャンセルされたようです
609_21_21_119_21|システムに介入し、主砲を停止させました
609_21_21_122_21|士道、マザールームへ！　嫌な予感がします！
609_21_21_127_21|士道、これはまずいことになりました
609_21_21_139_21|士道……鞠奈が！
609_21_21_140_21|……無作為に周囲のデータを取り込んでいます。　このままでは肥大化したデータに耐え切れず、　鞠奈の人格が崩壊するかもしれません
609_21_21_141_21|あれから引きずり出せれば、あるいは……
609_21_21_142_21|いえ、威力が足りていません。　データの取り込みが速すぎるために、同時に修復されています
609_21_21_143_21|このままでは何回やっても無理です！　修復スピードの方が上回っています
609_21_21_144_21|わたしにもっと、力があれば……――はっ！
609_21_21_145_21|……わたしが行きます
609_21_21_146_21|考えがあります。　……任せてください
